Team	General Manager	Date of hire	Active	URL
Washington Wizards	Ernie Grunfeld	2003	Y	http://www.prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=Bucks&PlayerMovementChkBx=yes&BeginDate=1999-8-13&EndDate=2003-6-29&submit=Search
Los Angeles Clippers	Pete Babcock	1984		http://www.prosportstransactions.com/basketball/Search/SearchResults.php??Player=&Team=Nuggets&PlayerMovementChkBx=yes&BeginDate=1987-10-27&EndDate=1990-2-14&submit=Search
Utah Jazz	Dave Checketts	1987		http://www.prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=Jazz&PlayerMovementChkBx=yes&BeginDate=1988-12-9&EndDate=1989-6-1&submit=Search
New York Knicks	Eddie Donovan	1965		http://www.prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=Braves&PlayerMovementChkBx=yes&BeginDate=1970-3-31&EndDate=1975-3-21&submit=Search
Philadelphia 76ers	Bryan Colangelo	2016	Y	http://www.prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=Suns&PlayerMovementChkBx=yes&BeginDate=1999-10-4&EndDate=2006-2-27&submit=Search
Washington Wizards	Ernie Grunfeld	2003	Y	http://www.prosportstransactions.com/basketball/Search/SearchResults.php??Player=&Team=wizards&PlayerMovementChkBx=yes&BeginDate=2003-6-30&submit=Search
Los Angeles Clippers	Pete Babcock	1984		http://www.prosportstransactions.com/basketball/Search/SearchResults.php??Player=&Team=Hawks&PlayerMovementChkBx=yes&BeginDate=1990-2-14&EndDate=2003-4-2&submit=Search
New York Knicks	Eddie Donovan	1965		http://www.prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=Knicks&PlayerMovementChkBx=yes&BeginDate=1975-4-14&EndDate=1982-5-20&submit=Search
Philadelphia 76ers	Bryan Colangelo	2016	Y	http://www.prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=Suns&PlayerMovementChkBx=yes&BeginDate=1998-6-9&EndDate=2006-2-27&submit=Search
Los Angeles Clippers	Pete Babcock	1984		http://www.prosportstransactions.com/basketball/Search/SearchResults.php??Player=&Team=Raptors&PlayerMovementChkBx=yes&BeginDate=2004-6-30&EndDate=2006-1-27&submit=Search
